"gene_symbol","entrez_id","kegg_gene_id","pathway_id","pathway_name","pathway_class","pathway_description","route_major_class","route_subclass","compound_id","compound_name"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14820","11(R)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14821","9(S)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14822","12(R)-HETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14823","8(S)-HPETE"
"ALOX15","246","hsa:246","hsa00590","Arachidonic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14824","8(R)-HETE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00157","Phosphatidylcholine"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C00219","Arachidonate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C01595","Linoleate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C03242","Dihomo-gamma-linolenate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04056","Rumenic acid"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C04717","(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic acid"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C06426","(6Z,9Z,12Z)-Octadecatrienoic acid"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C07289","Crepenynate"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C07338","(9Z,12Z)-(11S)-11-Hydroperoxyoctadeca-9,12-dienoic acid"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C07354","(7S,8S)-DiHODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14762","13(S)-HODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14765","13-OxoODE"
"ALOX15","246","hsa:246","hsa00591","Linoleic acid metabolism - Homo sapiens (human)","Metabolism; Lipid metabolism",NA,"Metabolism","Lipid metabolism","C14766","9-OxoODE"
