"pathway_id","compound_id","compound_name"
"hsa04726","C01330","Sodium cation"
"hsa04726","C02165","Leukotriene B4"
"hsa04726","C02166","Leukotriene C4"
"hsa04726","C02198","Thromboxane A2"
"hsa04726","C04822","8(R)-HPETE"
"hsa04726","C05356","5(S)-HPETE"
"hsa04726","C05635","5-Hydroxyindoleacetate"
"hsa04726","C05953","Prostaglandin A2"
"hsa04726","C05954","Prostaglandin B2"
"hsa04726","C05955","Prostaglandin C2"
"hsa04726","C05956","Prostaglandin G2"
"hsa04726","C05957","Prostaglandin J2"
"hsa04726","C05963","Thromboxane B2"
"hsa04726","C05964","11-Dehydro-thromboxane B2"
"hsa04726","C05965","12(S)-HPETE"
"hsa04726","C05966","15(S)-HPETE"
"hsa04726","C14768","5,6-EET"
"hsa04726","C14769","8,9-EET"
"hsa04726","C14770","11,12-EET"
"hsa04726","C14771","14,15-EET"
"hsa04726","C14772","5,6-DHET"
"hsa04726","C14773","8,9-DHET"
"hsa04726","C14774","11,12-DHET"
"hsa04726","C14775","14,15-DHET"
"hsa04726","C14812","12(R)-HPETE"
"hsa04726","C14820","11(R)-HPETE"
"hsa04726","C14821","9(S)-HPETE"
"hsa04726","C14823","8(S)-HPETE"
"hsa00220","C00011","CO2"
"hsa00220","C00014","Ammonia"
"hsa00220","C00025","L-Glutamate"
"hsa00220","C00026","2-Oxoglutarate"
"hsa00220","C00049","L-Aspartate"
"hsa00220","C00062","L-Arginine"
"hsa00220","C00064","L-Glutamine"
"hsa00220","C00077","L-Ornithine"
"hsa00220","C00086","Urea"
"hsa00220","C00122","Fumarate"
"hsa00220","C00169","Carbamoyl phosphate"
"hsa00220","C00288","HCO3-"
"hsa00220","C00327","L-Citrulline"
"hsa00220","C00437","N-Acetylornithine"
"hsa00220","C00624","N-Acetyl-L-glutamate"
"hsa00220","C01010","Urea-1-carboxylate"
"hsa00220","C01250","N-Acetyl-L-glutamate 5-semialdehyde"
"hsa00220","C03406","N-(L-Arginino)succinate"
"hsa00220","C04133","N-Acetyl-L-glutamate 5-phosphate"
"hsa00220","C15532","N-Acetyl-L-citrulline"
"hsa00220","C20948","LysW-L-glutamate"
"hsa00220","C20949","LysW-L-glutamyl 5-phosphate"
"hsa00220","C20950","LysW-L-glutamate 5-semialdehyde"
"hsa00220","C20951","LysW-L-ornithine"
"hsa00330","C00012","Peptide"
"hsa00330","C00019","S-Adenosyl-L-methionine"
"hsa00330","C00022","Pyruvate"
"hsa00330","C00025","L-Glutamate"
"hsa00330","C00048","Glyoxylate"
"hsa00330","C00062","L-Arginine"
"hsa00330","C00077","L-Ornithine"
"hsa00330","C00086","Urea"
"hsa00330","C00134","Putrescine"
"hsa00330","C00148","L-Proline"
"hsa00330","C00179","Agmatine"
"hsa00330","C00213","Sarcosine"
"hsa00330","C00223","p-Coumaroyl-CoA"
"hsa00330","C00300","Creatine"
"hsa00330","C00315","Spermidine"
"hsa00330","C00334","4-Aminobutanoate"
"hsa00330","C00406","Feruloyl-CoA"
"hsa00330","C00431","5-Aminopentanoate"
"hsa00330","C00436","N-Carbamoylputrescine"
"hsa00330","C00441","L-Aspartate 4-semialdehyde"
"hsa00330","C00533","Nitric oxide"
"hsa00330","C00555","4-Aminobutyraldehyde"
"hsa00330","C00581","Guanidinoacetate"
"hsa00330","C00750","Spermine"
"hsa00330","C00763","D-Proline"
"hsa00330","C00791","Creatinine"
"hsa00330","C00884","Homocarnosine"
"hsa00330","C00986","1,3-Diaminopropane"
"hsa00330","C01035","4-Guanidinobutanoate"
"hsa00330","C01043","N-Carbamoylsarcosine"
"hsa00330","C01110","5-Amino-2-oxopentanoic acid"
"hsa00330","C01137","S-Adenosylmethioninamine"
"hsa00330","C01157","Hydroxyproline"
"hsa00330","C01165","L-Glutamate 5-semialdehyde"
"hsa00330","C01250","N-Acetyl-L-glutamate 5-semialdehyde"
"hsa00330","C01682","Nopaline"
"hsa00330","C02305","Phosphocreatine"
"hsa00330","C02565","N-Methylhydantoin"
"hsa00330","C02647","4-Guanidinobutanal"
"hsa00330","C02714","N-Acetylputrescine"
"hsa00330","C02946","4-Acetamidobutanoate"
"hsa00330","C03078","4-Guanidinobutanamide"
"hsa00330","C03166","Phosphoguanidinoacetate"
"hsa00330","C03287","L-Glutamyl 5-phosphate"
"hsa00330","C03296","N2-Succinyl-L-arginine"
"hsa00330","C03375","Norspermidine"
"hsa00330","C03415","N2-Succinyl-L-ornithine"
"hsa00330","C03564","1-Pyrroline-2-carboxylate"
"hsa00330","C03771","5-Guanidino-2-oxopentanoate"
