"dataset","gene_or_identifier","mean_expression","sd_expression","min_expression","max_expression","n_samples"
"GSE13205_series1","ESF1",,,Inf,-Inf,21
"GSE13205_series1","RAB9B",,,Inf,-Inf,21
"GSE13205_series1","RHOU",,,Inf,-Inf,21
"GSE13205_series1","CDADC1",,,Inf,-Inf,21
"GSE13205_series1","DNAJC5",,,Inf,-Inf,21
"GSE13205_series1","ERRFI1",,,Inf,-Inf,21
"GSE13205_series1","SEPN1",,,Inf,-Inf,21
"GSE13205_series1","SYS1",,,Inf,-Inf,21
"GSE13205_series1","DNTTIP1",,,Inf,-Inf,21
"GSE13205_series1","GPCPD1",,,Inf,-Inf,21
"GSE13205_series1","TP53INP2",,,Inf,-Inf,21
"GSE13205_series1","PREX1",,,Inf,-Inf,21
"GSE13205_series1","ROMO1",,,Inf,-Inf,21
"GSE13205_series1","FAM46A",,,Inf,-Inf,21
"GSE13205_series1","PDRG1",,,Inf,-Inf,21
"GSE13205_series1","NOL4L",,,Inf,-Inf,21
"GSE13205_series1","SRXN1",,,Inf,-Inf,21
"GSE13205_series1","PHF5A",,,Inf,-Inf,21
"GSE13205_series1","NCOA7",,,Inf,-Inf,21
"GSE13205_series1","SH3BGRL2",,,Inf,-Inf,21
"GSE13205_series1","TP53RK",,,Inf,-Inf,21
"GSE13205_series1","DOCK8",,,Inf,-Inf,21
"GSE13205_series1","GINM1",,,Inf,-Inf,21
"GSE13205_series1","ALG2",,,Inf,-Inf,21
"GSE13205_series1","RPF2",,,Inf,-Inf,21
"GSE13205_series1","PIGU",,,Inf,-Inf,21
"GSE13205_series1","CAB39L",,,Inf,-Inf,21
"GSE13205_series1","UPRT",,,Inf,-Inf,21
"GSE13205_series1","RELL1",,,Inf,-Inf,21
"GSE13205_series1","GGT7",,,Inf,-Inf,21
"GSE13205_series1","HINT3",,,Inf,-Inf,21
"GSE13205_series1","DEF6",,,Inf,-Inf,21
"GSE13205_series1","TBC1D20",,,Inf,-Inf,21
"GSE13205_series1","EFCAB7",,,Inf,-Inf,21
"GSE13205_series1","DNAJC25",,,Inf,-Inf,21
"GSE13205_series1","NADK2",,,Inf,-Inf,21
"GSE13205_series1","C1ORF226",,,Inf,-Inf,21
"GSE13205_series1","FAM199X",,,Inf,-Inf,21
"GSE13205_series1","GSTO2",,,Inf,-Inf,21
"GSE13205_series1","LNP1",,,Inf,-Inf,21
"GSE13205_series1","ADAT2",,,Inf,-Inf,21
"GSE13205_series1","MAP1LC3A",,,Inf,-Inf,21
"GSE13205_series1","EBF3",,,Inf,-Inf,21
"GSE13205_series1","EXOC8",,,Inf,-Inf,21
"GSE13205_series1","PAQR8",,,Inf,-Inf,21
"GSE13205_series1","FAM65C",,,Inf,-Inf,21
"GSE13205_series1","STPG1",,,Inf,-Inf,21
"GSE13205_series1","SYTL4",,,Inf,-Inf,21
"GSE13205_series1","PHACTR3",,,Inf,-Inf,21
"GSE13205_series1","SORCS1",,,Inf,-Inf,21
"GSE13205_series1","ELAVL2",,,Inf,-Inf,21
"GSE13205_series1","LINC_PINT",,,Inf,-Inf,21
"GSE13205_series1","PTGR1",,,Inf,-Inf,21
"GSE13205_series1","FAM162B",,,Inf,-Inf,21
"GSE13205_series1","C11ORF83",,,Inf,-Inf,21
"GSE13205_series1","NKAPL",,,Inf,-Inf,21
"GSE13205_series1","MRPL43",,,Inf,-Inf,21
"GSE13205_series1","DUSP15",,,Inf,-Inf,21
"GSE13205_series1","HMGB4",,,Inf,-Inf,21
"GSE13205_series1","RSPH9",,,Inf,-Inf,21
"GSE13205_series1","DLGAP3",,,Inf,-Inf,21
"GSE13205_series1","EPHA8",,,Inf,-Inf,21
"GSE13205_series1","ANKRD54",,,Inf,-Inf,21
"GSE13205_series1","RIMS1",,,Inf,-Inf,21
